dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,13,mcuve,1.456,0.568,0.484,0.493,62|63|64|65|66|67|68|69|70|71|72|77|78,6
indian_pines,12,mcuve,1.452,0.556,0.449,0.478,62|63|64|65|66|67|68|69|70|71|77|78,6
indian_pines,11,mcuve,1.463,0.535,0.413,0.451,62|63|64|65|66|67|68|69|70|71|77,6
indian_pines,10,mcuve,1.453,0.532,0.427,0.445,62|63|64|65|66|67|68|69|70|71,6
indian_pines,9,mcuve,1.467,0.538,0.402,0.451,62|63|64|65|66|67|68|69|70,6
indian_pines,8,mcuve,1.466,0.562,0.465,0.482,65|68|69|70|73|77|78|79,6
indian_pines,7,mcuve,1.567,0.526,0.374,0.437,65|66|67|68|69|70|77,6
indian_pines,6,mcuve,1.663,0.53,0.37,0.438,63|64|65|66|67|68,6
indian_pines,5,mcuve,1.444,0.518,0.352,0.424,64|65|66|67|68,6
indian_pines,30,mcuve,1.467,0.717,0.686,0.676,35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|151|152|153|155|170|171,7
indian_pines,29,mcuve,1.464,0.689,0.664,0.645,35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|147|148|149|151|152,7
indian_pines,28,mcuve,1.459,0.694,0.647,0.651,35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|74|76|77|78|79|80|81|91|94|148|149|151|152,7
indian_pines,27,mcuve,1.519,0.701,0.674,0.659,35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|97|148|149|151|152,7
indian_pines,26,mcuve,1.456,0.658,0.649,0.609,56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|151|152,7
indian_pines,25,mcuve,1.548,0.696,0.636,0.652,35|56|61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|149|151,7
indian_pines,24,mcuve,1.503,0.689,0.655,0.644,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|149|152,7
indian_pines,23,mcuve,1.46,0.657,0.636,0.607,61|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|94|148|149|152,7
indian_pines,22,mcuve,1.462,0.659,0.637,0.61,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|81|91|94|148|152,7
indian_pines,21,mcuve,1.498,0.675,0.651,0.628,35|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|91|148|152,7
indian_pines,20,mcuve,1.465,0.637,0.605,0.583,56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|94|149,7
indian_pines,19,mcuve,1.47,0.599,0.565,0.54,56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80|151,7
indian_pines,18,mcuve,1.49,0.577,0.518,0.512,56|62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80,7
indian_pines,17,mcuve,1.482,0.575,0.497,0.507,62|63|64|65|66|67|68|69|70|71|72|73|76|77|78|79|80,7
